"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","source"
"GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT",1e-50,3.30975e-47,NA,0.755699508126863,4.57292653594245,132,"COMP;SBSPON;DPT;COL4A1;THBS2;MFAP5;COL14A1;COL4A2;HMCN2;PRELP;COL3A1;FBLN5;OGN;COL1A1;COL5A1;PODN;CTHRC1;LAMA4;HMCN1;ELN;COL12A1;COL8A1;FBN1;MFGE8;EMILIN3;NID1;TNXB;POSTN;COL6A3;COL1A2;TINAGL1;MFAP4;FN1;COL5A2;COL21A1;AEBP1;EMILIN1;COL8A2;COL10A1;PCOLCE;COL6A1;COL5A3;BGN;LTBP1;MFAP2;COL16A1;ABI3BP;SPARC;COL4A3;NID2","C5_GO"
"GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION",4.67319343324036e-49,1.03114013104449e-45,1.82591885766985,0.560721454443115,3.80971468411474,276,"COMP;GREM1;ITGA8;CCDC80;DPT;COL4A1;SULF1;COL14A1;COL4A2;ANGPTL7;COL3A1;FBLN5;DDR2;COL1A1;SFRP2;COL5A1;ADAMTS8;HMCN1;ELN;COL12A1;CAV1;COL8A1;ADAMTS5;MMP23B;NID1;TNXB;FAP;POSTN;PDGFRA;COL1A2;SMOC1;MFAP4;MMP2;COL5A2;ADAMTS2;ADAMTS4;EGFLAM;AEBP1;EMILIN1;MYH11;HPSE2;FOXF1;COL8A2;COL10A1;ECM2;COL6A1;LOXL1;LOXL2;COL5A3;NDNF","C5_GO"
"GOCC_CONTRACTILE_MUSCLE_FIBER",3.78112361103697e-46,7.15118506950263e-43,1.76830432671752,0.634170642715721,4.07304214690105,190,"TTN;ACTC1;NEXN;ACTA1;ACTN2;LDB3;CASQ2;TNNC1;LMOD1;JPH2;TNNT1;ABCC9;IGFN1;MYOT;SYNM;FLNC;SYNPO2;CA3;CRYAB;MYH3;TCAP;PDLIM7;FHOD3;TNNC2;SYNPO;NEB;KCNN3;KLHL41;ARHGEF25;DMD;PGM5;ASB2;S100A1;KCNJ8;DES;MYOM1;SLC8A1;MMP2;MYOZ3;MYL3;FBXL22;TMOD1;TNNT3;FERMT2;PDLIM3;MYH11;ACTA2;PPP1R12B;TPM2;VCL","C5_GO"
"GOBP_MUSCLE_CONTRACTION",5.23859244613952e-42,8.66921567430514e-39,1.69047237898449,0.502435094642288,3.49281000623631,304,"TTN;ACTC1;SGCA;ACTA1;COMP;CASQ2;PRKG1;MYOCD;PLN;TNNC1;FXYD1;LMOD1;P2RX1;SULF1;JPH2;TNNT1;ABCC9;MYOT;SYNM;GNAO1;GJC1;ATP1A2;CA3;KCNE4;CRYAB;MYH3;TCAP;CNN1;TNNC2;SMTN;CAV1;KCNMA1;KLHL41;DMD;KCNJ8;DES;EDNRA;SLC8A1;MYLK;MYL3;TMOD1;TNNT3;MYH11;ACTA2;PPP1R12B;TPM2;DTNA;ATP2B4;KCNH2;SSPN","C5_GO"
"GOBP_MUSCLE_CELL_DIFFERENTIATION",1.55128212472434e-36,2.2819360054695e-33,1.56979165706381,0.437861982828805,3.07850105747699,370,"TTN;ACTC1;ACTA1;ACTN2;COMP;GREM1;ITGA8;LDB3;MYOCD;LMOD1;TNNT1;COL14A1;FLNC;MYH3;TCAP;CARMN;RBPMS2;ZEB1;CDH2;FHOD3;SPEG;ADAMTS5;NEB;ISL1;PLPP7;KLHL41;EHD2;NID1;DMD;NFATC4;PGM5;ASB2;KCNJ8;PDGFRA;MYOM1;EDNRA;SLC8A1;PRDM6;TMOD1;TNNT3;PDGFRB;MYH11;FOXF1;TMEM119;COL6A1;MYOZ1;SYNE1;LAMA2;ANK2;TBX2","C5_GO"
"GOBP_MUSCLE_TISSUE_DEVELOPMENT",2.67090372446859e-34,3.53600944082397e-31,1.52292160289117,0.445167207846083,3.09162809595917,327,"TTN;ACTC1;ACTA1;ACTN2;GREM1;ITGA8;GATA5;MYOCD;PLN;TNNC1;JPH2;S100B;ABCC9;COL14A1;GJC1;COL3A1;TCAP;EYA1;CARMN;FOXP2;FGF2;ELN;FHOD3;CAV1;NEB;ISL1;KLHL41;DMD;FGFR1;PGM5;ASB2;KCNJ8;PDGFRA;MYOM1;EDNRA;SLC8A1;MYLK;MYL3;PDGFRB;MYH11;COL6A1;HEYL;MYOZ1;FOXC1;TBX2;LOX;ZFPM2;PRICKLE1;CFL2;HLF","C5_GO"
"GOBP_MUSCLE_ORGAN_DEVELOPMENT",5.43755463397825e-32,5.9989821499365e-29,1.46752397671296,0.46768901811751,3.15468697459351,273,"TTN;ACTC1;SGCA;ACTA1;MYOCD;TNNC1;JPH2;FHL1;ITGA11;S100B;ABCC9;NEGR1;ITGA7;COL3A1;CRYAB;MYH3;TCAP;FOXP2;ELN;SMTN;CAV1;SPEG;NEB;ISL1;KLHL41;DMD;ASB2;DES;COL6A3;MYOM1;EDNRA;CNTFR;MYLK;MYL3;COL6A1;HEYL;MYOZ1;FZD2;LAMA2;FOXC1;LOX;ZFPM2;ITGB1BP2;CFL2;HLF;MKX;MEF2C;RBM24;LIF;EFEMP2","C5_GO"
"GOBP_CELL_SUBSTRATE_ADHESION",5.97176572756774e-29,6.0815543436361e-26,1.39518713415833,0.416480443330416,2.88640213902455,326,"MYOC;ACTN2;GREM1;ITGBL1;ITGA8;CCDC80;SORBS1;ITGA11;ITGA7;TGFB1I1;ITGA9;COL3A1;FBLN5;THY1;COL1A1;COL8A1;ITGA5;ITGA1;NID1;SVEP1;SERPINE1;TNXB;CDH11;LYVE1;FN1;CCL21;JAM3;EGFLAM;FERMT2;EMILIN1;SFRP1;FOXF1;VCL;ECM2;COL5A3;NDNF;FREM2;VIT;L1CAM;COL16A1;GAS6;ATP1B2;NID2;GPM6B;TSPAN11;BST1;PEAK1;FLNA;EFNA5;EFEMP2","C5_GO"
"GOMF_INTEGRIN_BINDING",4.56442200647473e-28,4.3163130674085e-25,1.37274298193398,0.612640467213415,3.66623575613191,125,"ACTN2;COMP;ITGBL1;ITGA9;COL3A1;FBLN5;THY1;SFRP2;COL5A1;ADAMTS8;FGF2;GFRA1;ADAMTS5;FBN1;ITGA5;MFGE8;SVEP1;TNXB;FAP;FN1;JAM3;JAM2;FERMT2;EMILIN1;ECM2;COL16A1;COL4A3;HSPG2;ITGB1BP2;S1PR3;ADAM22;PLPP3;EDIL3;THBS4;FBLN1;TGFBI;LTBP4;ACTN1;THBS1;KDR;MMP14;IL1B;TSPAN4;LAMB1;ILK;TLN1;PTN;CXCL12;PRKCA;S1PR2","C5_GO"
"GOCC_I_BAND",1.88390789505927e-27,1.66273710817931e-24,1.3575740855908,0.628334100404123,3.71195752421062,116,"TTN;ACTC1;NEXN;ACTN2;LDB3;CASQ2;JPH2;IGFN1;MYOT;FLNC;SYNPO2;CRYAB;TCAP;PDLIM7;FHOD3;SYNPO;NEB;KCNN3;DMD;PGM5;ASB2;S100A1;DES;SLC8A1;MYOZ3;MYL3;FBXL22;FERMT2;PDLIM3;PPP1R12B;ATP2B4;MYOZ1;PALLD;ANK2;ITGB1BP2;CFL2;CSRP1;FLNA;PDLIM4;DNAJB4;MYL9;ATP2A1;ANKRD2;ACTN1;RYR2;CACNA1C;FHL3;SLMAP;FHL5;PPP1R12A","C5_GO"
"GOMF_GLYCOSAMINOGLYCAN_BINDING",5.08072758699671e-26,4.20398453276559e-23,1.32671609800481,0.544087566754632,3.38397940374883,157,"COMP;CCDC80;PCOLCE2;NRP2;THBS2;RSPO3;PRELP;COL5A1;ADAMTS8;FGF2;ADAMTS5;FBN1;SLIT2;TNXB;SLIT3;FGFR1;LYVE1;POSTN;SMOC1;DPYSL3;FN1;EGFLAM;TNFAIP6;SFRP1;ECM2;PCOLCE;COL5A3;NDNF;BGN;VIT;SUSD5;FGF7;HAPLN2;STAB1;RSPO1;SERPINE2;EFEMP2;LTBP2;DCN;VCAN;TGFBR3L;THBS4;SOD3;CFH;SMOC2;BMP4;SPOCK3;ENG;NELL1;TGFBR3","C5_GO"
"GOBP_COLLAGEN_FIBRIL_ORGANIZATION",8.98354778541266e-26,6.99606994888695e-23,1.31888879607587,0.72130823076717,4.00504094511138,74,"COMP;GREM1;DPT;COL4A1;COL14A1;COL4A2;COL3A1;DDR2;COL1A1;SFRP2;COL5A1;COL12A1;TNXB;COL1A2;COL5A2;ADAMTS2;AEBP1;EMILIN1;COL6A1;LOXL1;LOXL2;COL5A3;COL4A3;FOXC1;LOX;BMP1;EFEMP2;SERPINH1;CYP1B1;COL4A4;COLGALT2;LUM;FOXC2;TGFB2;MMP11;PLOD2;FKBP10;ADAMTS12;LOXL3","C5_GO"
"GOCC_CELL_SUBSTRATE_JUNCTION",1.12216884628114e-25,8.25355186439781e-23,1.31101476274061,0.36833417795793,2.51153397275481,398,"ACTC1;NEXN;ACTN2;ITGBL1;ITGA8;CSPG4;MCAM;SORBS1;FHL1;ITGA11;FLNC;TGFB1I1;SYNPO2;DDR2;THY1;PDLIM7;CNN1;HMCN1;LIMS2;CDH2;CAV1;ITGA5;NFASC;ITGA1;SCARF2;AKAP12;DMD;PGM5;FAP;TNS1;FERMT2;PDGFRB;VCL;MRC2;PALLD;L1CAM;FZD2;HSPG2;PEAK1;CSRP1;NOX4;DIXDC1;ANXA6;EPB41L2;FLNA;GSN;CAV2;ENG;LPP;SVIL","C5_GO"
"GOBP_STRIATED_MUSCLE_CELL_DIFFERENTIATION",2.03676632270498e-24,1.28403568315673e-21,1.27903397725049,0.422564253623399,2.86138809202785,272,"TTN;ACTC1;ACTA1;ACTN2;GREM1;LDB3;MYOCD;LMOD1;TNNT1;COL14A1;FLNC;MYH3;TCAP;CARMN;CDH2;FHOD3;ADAMTS5;NEB;ISL1;PLPP7;KLHL41;EHD2;PGM5;ASB2;KCNJ8;PDGFRA;MYOM1;SLC8A1;TMOD1;TNNT3;PDGFRB;MYH11;TMEM119;COL6A1;MYOZ1;PRICKLE1;CFL2;CSRP1;NOX4;MEF2C;RBM24;TPM1;POPDC2;MYL9;DMPK;BMP4;CAV2;AVPR1A;MYOM2;FZD7","C5_GO"
"GOCC_BASEMENT_MEMBRANE",2.3486978250193e-24,1.41338229570139e-21,1.27903397725049,0.657018402666689,3.73809536171954,89,"CCDC80;COL4A1;THBS2;COL4A2;HMCN2;COL5A1;LAMA4;HMCN1;COL8A1;FBN1;NID1;SMOC1;FN1;EGFLAM;ACTA2;COL8A2;COL6A1;LOXL1;LOXL2;FREM2;COL16A1;SPARC;COL4A3;NID2;LAMA2;HSPG2;EFNA5;EFEMP2;COL4A4;TIMP3;THBS4;SMOC2;MATN2;COL15A1;FBLN1;TGFBI;LAMB1;TIMP1;LAMB2;ENTPD1;LAMC3;TNC;COL18A1;COLQ;VWA1;DST;FREM1;ADAMTS1;COL9A3;MMRN2","C5_GO"
"GOBP_CARDIAC_MUSCLE_TISSUE_DEVELOPMENT",3.67488026012679e-24,2.1152930332095e-21,1.27091304449619,0.503822077811345,3.20651359786201,177,"TTN;ACTC1;ACTN2;GREM1;GATA5;MYOCD;PLN;TNNC1;JPH2;COL14A1;GJC1;TCAP;CARMN;FGF2;FHOD3;NEB;ISL1;FGFR1;ASB2;KCNJ8;PDGFRA;EDNRA;SLC8A1;MYL3;PDGFRB;MYH11;FOXC1;TBX2;ZFPM2;PRICKLE1;NOX4;MEF2C;TPM1;GJA5;ALDH1A2;BMP4;ENG;ADAMTS9;GLI1;TGFBR3;FZD7;SGCD;RYR2;HEG1;FOXC2;TGFB2;TGFB1;IGF1;SGCG;MSC","C5_GO"
"GOCC_ENDOPLASMIC_RETICULUM_LUMEN",1.22835420227351e-23,6.5048725135596e-21,1.26273988547916,0.424421074958386,2.82598859372665,253,"CASQ2;COL4A1;CHRDL1;PTGIS;COL14A1;COL4A2;COL3A1;COL1A1;COL5A1;CDH2;COL12A1;COL8A1;SRL;ADAMTS5;FBN1;MFGE8;COL6A3;COL1A2;FN1;MXRA8;COL5A2;COL21A1;BCHE;COL8A2;COL10A1;COL6A1;RCN3;COL5A3;ADAMTSL4;CES1;LTBP1;CLU;COL16A1;GAS6;COL4A3;SPARCL1;COL6A2;F10;FSTL3;CERCAM;GPX8;SERPING1;IGFBP4;SERPINH1;C3;SPON1;COL4A4;VCAN;LGALS1;COLGALT2","C5_GO"
"GOBP_MUSCLE_CELL_DEVELOPMENT",1.70766755793674e-23,8.69531184597095e-21,1.25451347943706,0.536167471871275,3.28864557824273,148,"TTN;ACTC1;ACTA1;ACTN2;COMP;LDB3;LMOD1;TNNT1;COL14A1;FLNC;MYH3;TCAP;FHOD3;NEB;ISL1;KLHL41;DMD;NFATC4;PGM5;ASB2;PDGFRA;MYOM1;EDNRA;SLC8A1;TMOD1;TNNT3;PDGFRB;MYH11;COL6A1;MYOZ1;ANK2;LOX;PRICKLE1;CFL2;CSRP1;SYPL2;EFEMP2;TPM1;MYL9;BMP4;CAV2;ENG;MYOM2;SGCD;ACTN1;CNTNAP1;IGF1;UCHL1;RYR1;RGS4","C5_GO"
"GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_GROWTH_FACTOR_STIMULUS",5.41780876108678e-23,2.65653222918622e-20,1.23789667319529,0.410752401859036,2.75986659275269,270,"FST;CHRDL2;GREM1;ITGA8;MYOCD;CHRDL1;SULF1;TGFB1I1;SFRP2;RBPMS2;ZEB1;FGF2;CAV1;FBN1;ITGA5;SLIT2;SFRP4;DMD;TNXB;NRXN1;ADGRA2;TNFAIP6;EMILIN1;SFRP1;RGMA;ATP2B4;CHRD;LTBP1;SCUBE3;HTRA3;LOX;FSTL3;ZNF423;DOK5;ZEB2;LRRC32;ASPN;HTRA1;DCN;TGFBR3L;SMOC2;BMP4;NREP;CAV2;ENG;CILP;HHIP;MMRN1;TGFBR3;LTBP4","C5_GO"
"GOBP_CELL_MATRIX_ADHESION",1.05192715328469e-22,4.97373699369142e-20,1.23789667319529,0.446225227794504,2.94386880151529,217,"MYOC;ACTN2;GREM1;ITGBL1;ITGA8;SORBS1;ITGA11;ITGA7;ITGA9;COL3A1;FBLN5;THY1;ITGA5;ITGA1;NID1;SVEP1;SERPINE1;TNXB;CDH11;LYVE1;FN1;CCL21;JAM3;FERMT2;EMILIN1;SFRP1;VCL;ECM2;COL5A3;FREM2;L1CAM;COL16A1;NID2;GPM6B;TSPAN11;BST1;PEAK1;EFNA5;EFEMP2;PLPP3;EPHA3;ADAMTS9;RRAS;DLC1;ACTN1;THBS1;KDR;ZYX;MMP14;HOXA7","C5_GO"
"GOBP_MESENCHYME_DEVELOPMENT",8.74205426065095e-21,3.61675176114869e-18,1.1778932614942,0.393804027341329,2.65537391610028,266,"ACTC1;NCAM1;ACTA1;GREM1;GATA5;NRP2;DACT3;BNC2;TGFB1I1;FAM83D;COL1A1;SFRP2;CDH2;ADAMTS5;SIX2;ISL1;TNXB;FGFR1;SEMA3A;EDNRA;ACTG2;FN1;FRZB;FERMT2;SFRP1;ACTA2;FOXF1;HGF;LOXL2;HEYL;FOXC1;TBX2;SOX10;ZFPM2;ZEB2;PRICKLE1;FOXF2;EDNRB;MEF2C;RBM24;EPHA3;TGFBR3L;ALDH1A2;BMP4;ENG;TCF21;SEMA3B;TGFBR3;DCHS1;SEMA3G","C5_GO"
"GOBP_MYOFIBRIL_ASSEMBLY",2.76835459778065e-20,1.01806240333383e-17,1.16017957183021,0.74031800088098,3.83916632033592,55,"TTN;ACTC1;ACTA1;ACTN2;LDB3;LMOD1;TNNT1;FLNC;MYH3;TCAP;FHOD3;NEB;KLHL41;PGM5;PDGFRA;MYOM1;TMOD1;TNNT3;PDGFRB;MYH11;MYOZ1;CFL2;CSRP1;TPM1;MYL9;MYOM2","C5_GO"
"GOBP_SENSORY_SYSTEM_DEVELOPMENT",4.08390023148028e-20,1.46126365309642e-17,1.16017957183021,0.36251209999284,2.49175236559396,318,"SGCA;NTRK2;FAT3;COL4A1;CHRDL1;MFAP5;INHBA;ANGPTL7;THY1;TENM3;CRYAB;COL5A1;ZEB1;FOXP2;FGF2;COL8A1;FBN1;ISL1;MEIS1;DMD;SEMA3A;NES;PDGFRA;MYOM1;SMOC1;AQP1;COL5A2;TMOD1;PDGFRB;COL8A2;DIO3;ATP2B4;FREM2;SSPN;MFAP2;MITF;FOXC1;CLIC4;TBX2;ZEB2;PRICKLE1;FOXF2;GPM6A;VSTM4;EFEMP1;EFNA5;C3;CYP1B1;ALDH1A2;BMP4","C5_GO"
"GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY",2.96948913948343e-19,9.8282666794053e-17,1.13308993200902,0.356529433465705,2.45318473928539,316,"FST;CHRDL2;COMP;GREM1;ITGA8;MYOCD;CHRDL1;SULF1;INHBA;TGFB1I1;COL3A1;SFRP2;RBPMS2;ZEB1;CAV1;FBN1;SFRP4;LEFTY2;RBPMS;COL1A2;FERMT2;DACT1;TNFAIP6;EMILIN1;SFRP1;RGMA;TMEM119;CHRD;LTBP1;SCUBE3;HTRA3;LOX;FSTL3;ZNF423;ZEB2;LRRC32;ASPN;HTRA1;LTBP2;TGFBR3L;BMP4;NREP;CAV2;ENG;LRP1;CILP;TGFBR3;LTBP4;THBS1;GDF7","C5_GO"
"GOBP_REGULATION_OF_VASCULATURE_DEVELOPMENT",3.76391900815227e-19,1.21537862802263e-16,1.13308993200902,0.392235920474568,2.62895658664481,255,"GREM1;HSPB6;SULF1;PTGIS;THBS2;COL4A2;ANGPTL7;FBLN5;SFRP2;FGF2;ITGA5;ISL1;SERPINE1;TSPAN18;S100A1;AQP1;ADGRA2;EMILIN1;SFRP1;ATP2B4;SPARC;COL4A3;FOXC1;STAB1;HSPG2;SERPINF1;C3;CCL11;CYP1B1;DCN;THBS4;TBXA2R;SMOC2;SPHK1;ENG;ECM1;ADAMTS9;RRAS;NPR1;THBS1;JCAD;FOXC2;ECSCR;KDR;CLDN5;TGFBR2;TGFB2;ACVRL1;TGFB1;IL1B","C5_GO"
"GOCC_COLLAGEN_TRIMER",6.42743644883918e-19,1.97890304991121e-16,1.12391496374483,0.674266991854182,3.59760327206401,64,"C1QTNF7;COL4A1;C1QTNF2;COL14A1;COL4A2;COL3A1;COL1A1;COL5A1;CTHRC1;COL12A1;COL8A1;COL6A3;COL1A2;SCARA3;COL5A2;C1QTNF1;COL21A1;EMILIN1;COL8A2;COL10A1;COL6A1;COL5A3;COL16A1;COL4A3;COL6A2;LOX;COL4A4;C1QL1;COL15A1;COL27A1;LUM;COL23A1;CCBE1;GLDN;C1QA;COL18A1;COLQ;COL9A3;COL24A1;FCN1;COL13A1","C5_GO"
"GOBP_STRIATED_MUSCLE_CONTRACTION",1.32433974756252e-18,3.98475770863187e-16,1.11466447751729,0.436588362645513,2.80780454160133,188,"TTN;ACTC1;CASQ2;PLN;TNNC1;JPH2;TNNT1;ABCC9;SYNM;GJC1;ATP1A2;CA3;KCNE4;MYH3;TCAP;TNNC2;CAV1;KLHL41;DMD;KCNJ8;SLC8A1;MYL3;TNNT3;DTNA;KCNH2;TNNI2;ANK2;JPH4;ADGRD1;PGAM2;FLNA;TPM1;SCN7A;GJA5;DMPK;GSN;ATP2A1;SGCD;RYR2;CACNA1C;MYH7B;REM1;SCN1B;RYR1;LARGE1;JSRP1;GJA1;STAC;KCNA5;CLIC2","C5_GO"
"GOBP_HEART_MORPHOGENESIS",1.74343674534633e-18,5.1291909048089e-16,1.10533657731401,0.415744307827377,2.71902226450688,209,"TTN;ACTC1;GATA5;TNNC1;NRP2;ABCC9;SFRP2;COL5A1;TCAP;EYA1;ELN;ADAMTS5;ISL1;SLIT2;SLIT3;ASB2;KCNJ8;EDNRA;MYL3;FOXF1;HEYL;FZD2;FOXC1;TBX2;ZFPM2;PRICKLE1;MEF2C;TPM1;GJA5;ALDH1A2;BMP4;ENG;TGFBR3;DCHS1;DLC1;RYR2;FLRT2;HEG1;FOXC2;CLDN5;TGFBR2;TGFB2;ACVRL1;TGFB1;ILK;PLXND1;SMARCD3;PKD2;TMEM100;RYR1","C5_GO"
"GOMF_HEPARIN_BINDING",4.22865813495944e-18,1.19113202231336e-15,1.0959292864312,0.540993533731761,3.17269776619948,112,"COMP;CCDC80;PCOLCE2;NRP2;THBS2;RSPO3;PRELP;COL5A1;ADAMTS8;FGF2;ADAMTS5;FBN1;SLIT2;TNXB;SLIT3;FGFR1;POSTN;SMOC1;FN1;SFRP1;ECM2;PCOLCE;COL5A3;NDNF;FGF7;RSPO1;SERPINE2;EFEMP2;LTBP2;THBS4;SOD3;CFH;SMOC2;BMP4;NELL1;TGFBR3;THBS1;COL23A1;GREM2;ADAMTS15;PTN;ADAMTSL5;SERPINA5;COLQ;CRISPLD2;ADAMTS1;FBLN7;ELANE;PGF;CLEC3B","C5_GO"
"GOBP_RENAL_SYSTEM_DEVELOPMENT",7.45348036411606e-18,2.04764626528056e-15,1.0864405425825,0.368983663702477,2.48801314368846,266,"GREM1;ITGA8;MYOCD;COL4A1;SULF1;PLCE1;EYA1;FGF2;GFRA1;FBN1;SIX2;SLIT2;NID1;FGFR1;KANK2;KCNJ8;PDGFRA;AQP1;EDNRA;CRLF1;HS3ST3A1;SFRP1;PDGFRB;ACTA2;FOXF1;PCSK5;FREM2;HEYL;COL4A3;FOXC1;GLIS2;PRICKLE1;GLI2;EDNRB;MEF2C;LIF;KIF26B;COL4A4;ALDH1A2;BMP4;MMP17;TCF21;WNT2B;DCHS1;ANGPT1;EPHA7;OSR2;FOXC2;PDGFD;TGFB2","C5_GO"
"GOBP_CONNECTIVE_TISSUE_DEVELOPMENT",7.61542975951545e-18,2.04764626528056e-15,1.0864405425825,0.374226747453503,2.50937281991975,257,"CHRDL2;COMP;GREM1;SULF1;COL3A1;OGN;COL1A1;SFRP2;COL5A1;ZEB1;FGF2;SIX2;FGFR1;ALKAL2;PRRX1;FRZB;PDGFRB;ACTA2;COL6A1;LOXL2;BGN;PTH1R;LOX;BMP1;MEF2C;EFEMP1;SERPINH1;CTSK;PTHLH;BMP4;ECM1;MATN3;MGP;TGFBI;WNT2B;COL27A1;ARID5A;ZNF516;GDF7;LUM;OSR2;FOXC2;PDGFD;TGFBR2;SELENOM;TGFB2;ACVRL1;TGFB1;SPART;SOX5","C5_GO"
"GOMF_COLLAGEN_BINDING",7.73338720930797e-18,2.04764626528056e-15,1.0864405425825,0.691465609454669,3.60771304041586,58,"COMP;PCOLCE2;ITGA11;COL14A1;DDR2;PODN;ITGA1;NID1;TNXB;FN1;C1QTNF1;AEBP1;ECM2;PCOLCE;COL6A1;COL5A3;MRC2;SPARC;NID2;COL6A2;LOX;SERPINH1;CTSK;COCH;TGFBI;THBS1;LUM;CCBE1;ANTXR1;VWF","C5_GO"
"GOBP_CARDIOCYTE_DIFFERENTIATION",8.4747697771958e-18,2.19995053098618e-15,1.0864405425825,0.511487195614234,3.04570818809382,123,"TTN;ACTC1;ACTN2;GREM1;MYOCD;INHBA;COL14A1;TCAP;CARMN;FHOD3;NEB;ISL1;ASB2;KCNJ8;PDGFRA;EDNRA;SLC8A1;PDGFRB;MYH11;TBX2;PRICKLE1;NOX4;MEF2C;BMP4;ENG;TGFBR3;FZD7;SGCD;TGFB2;TGFB1;IGF1;RGS4;RARA;LARGE1;PROX1;DKK1;ITGB1;LMNA;VCAM1;ALPK3;FHL2;SOX18;SGCB;RGS2;SRF;SOX17;TENM4;SORBS2;GREB1L;AKAP6","C5_GO"
"GOBP_CARTILAGE_DEVELOPMENT",9.9589235236055e-18,2.53550362555795e-15,1.0864405425825,0.44615271771372,2.80970241613119,170,"CHRDL2;COMP;GREM1;SULF1;COL3A1;OGN;COL1A1;SFRP2;ZEB1;FGF2;SIX2;FGFR1;PRRX1;FRZB;COL6A1;LOXL2;BGN;PTH1R;BMP1;MEF2C;EFEMP1;SERPINH1;CTSK;PTHLH;BMP4;ECM1;MATN3;MGP;TGFBI;WNT2B;COL27A1;ARID5A;LUM;OSR2;TGFBR2;TGFB2;ACVRL1;TGFB1;SOX5;TIMP1;HOXA11;CYTL1;GDF5;SULF2;ADAMTS12;RARA;FOSL2;PKDCC;OSR1;GPLD1","C5_GO"
"GOBP_REGULATION_OF_TRANSMEMBRANE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY",2.8450147280151e-17,7.10663207248903e-15,1.06720998682811,0.390977455925239,2.57860593591408,227,"FST;CHRDL2;GREM1;ITGA8;MYOCD;CHRDL1;SULF1;INHBA;TGFB1I1;SFRP2;RBPMS2;ZEB1;CAV1;FBN1;SFRP4;DACT1;TNFAIP6;EMILIN1;SFRP1;RGMA;CHRD;LTBP1;SCUBE3;HTRA3;LOX;FSTL3;ZNF423;ZEB2;LRRC32;ASPN;HTRA1;TGFBR3L;BMP4;NREP;CAV2;ENG;LRP1;CILP;TGFBR3;LTBP4;THBS1;GDF7;ADAMTSL2;KDR;GREM2;TGFBR2;TGFB2;RASL11B;ACVRL1;TGFB1","C5_GO"
"GOMF_ACTIN_BINDING",4.24982481964615e-17,1.02297146885992e-14,1.06720998682811,0.322140178553498,2.2625053367755,364,"TTN;NEXN;ACTN2;LDB3;TNNC1;LMOD1;SORBS1;MYOT;MAP1A;MAP1B;FLNC;SYNPO2;MYH3;PDLIM7;CNN1;FHOD3;TNNC2;SMTN;SYNPO;NEB;KCNMA1;CAP2;DMD;PLS3;TNS1;MYOZ3;MYLK;MYL3;TMOD1;TNNT3;FERMT2;PDLIM3;MYH11;TPM2;VCL;MYOZ1;PALLD;SPTB;TNNI2;SYNE1;DAAM2;CFL2;DIXDC1;EPB41L2;FLNA;PDLIM4;TPM1;TAGLN;SAMD14;GSN","C5_GO"
"GOCC_SARCOLEMMA",4.97305273953712e-17,1.1756829503345e-14,1.06720998682811,0.53360730023981,3.11277167865633,107,"SGCA;FXYD1;ABCC9;MYOT;SYNM;FLNC;ATP1A2;AHNAK2;CDH2;SLC2A4;CAV1;DMD;PGM5;KCNJ8;DES;AQP1;SLC8A1;VCL;COL6A1;ATP2B4;BGN;SSPN;COL6A2;LAMA2;ANK2;POPDC2;DYSF;KCNB1;CAV2;SGCD;RYR2;CACNA1C;CACNA2D3;SLMAP;CORO1C;SGCG;REM1;SCN1B;RYR1;ITGB1;SGCE;VCAM1;STAC;CACNA2D1;SGCB;RYR3;AHNAK;BIN1;CACNB2;AKAP6","C5_GO"
"GOMF_CYTOKINE_BINDING",5.91329700585427e-17,1.3734410361492e-14,1.05746357275086,0.52511409250976,3.05709212082753,111,"CHRDL2;COMP;GREM1;NRP2;CHRDL1;TCAP;FGF2;CNTFR;CRLF1;ACKR1;IL13RA2;CHRD;BGN;LTBP1;SCUBE3;LRRC32;ACKR3;LEPR;TGFBR3L;ENG;TGFBR3;LTBP4;THBS1;A2M;GREM2;TGFBR2;ACVRL1;KIT;CCR10;IL1RL1;GDF5;TGFB3;PDPN;OSMR;ITGB1;TSKU;LTBP3;ELANE;IL3RA;VASN;GBP1;NBL1;CSF1R;TNFRSF1A;IL6ST;PLP2;CD74;CCR1","C5_GO"
"GOBP_WOUND_HEALING",3.70358254511842e-16,7.90834343787465e-14,1.03769615548758,0.321249450141862,2.24532219773394,350,"SYT11;COMP;WFDC1;PRKG1;P2RX1;MCAM;ANGPTL7;COL3A1;DDR2;COL5A1;FGF2;CAV1;ITGA5;TFPI;SVEP1;SERPINE1;ANO5;FAP;PDGFRA;AQP1;FN1;C1QTNF1;MYLK;FERMT2;EMILIN1;ANGPTL1;VCL;NDNF;MYOZ1;GAS6;F10;CSRP1;SERPING1;SERPINE2;ANGPTL2;FLNA;TPM1;DGKG;MYL9;ADRA2C;TBXA2R;SMOC2;ENG;ANO6;AXL;FBLN1;MMRN1;F13A1;PEAR1;PROCR","C5_GO"
